13.193.106.143:443#JP🇯🇵|延迟74ms|带宽800.3Mbps|评分66
35.194.109.94:443#JP🇯🇵|延迟73ms|带宽524.5Mbps|评分70
13.159.223.80:443#JP🇯🇵|延迟73ms|带宽497.9Mbps|评分71
54.248.55.203:443#JP🇯🇵|延迟77ms|带宽684.6Mbps|评分71
54.199.39.232:443#JP🇯🇵|延迟81ms|带宽776.1Mbps|评分74
43.164.191.65:8443#KR🇰🇷|延迟86ms|带宽69.3Mbps|评分106
43.133.237.158:8443#KR🇰🇷|延迟78ms|带宽29.7Mbps|评分108
3.35.238.2:443#KR🇰🇷|延迟103ms|带宽141.9Mbps|评分115
119.28.162.39:8443#KR🇰🇷|延迟84ms|带宽27.4Mbps|评分115
52.141.39.15:443#KR🇰🇷|延迟101ms|带宽120.2Mbps|评分115
54.251.249.94:8443#SG🇸🇬|延迟59ms|带宽258.4Mbps|评分64
47.237.187.96:2053#SG🇸🇬|延迟61ms|带宽278.9Mbps|评分65
13.250.31.132:443#SG🇸🇬|延迟57ms|带宽40.6Mbps|评分84
43.160.246.223:8443#SG🇸🇬|延迟73ms|带宽131.9Mbps|评分86
18.136.144.105:443#SG🇸🇬|延迟76ms|带宽63.0Mbps|评分97
1.162.65.16:8443#TW🇹🇼|延迟42ms|带宽187.0Mbps|评分51
