1.162.65.16:8443#TW🇹🇼|延迟42ms|带宽187.0Mbps|评分51
54.251.249.94:8443#SG🇸🇬|延迟59ms|带宽258.4Mbps|评分64
47.237.187.96:2053#SG🇸🇬|延迟61ms|带宽278.9Mbps|评分65
13.193.106.143:443#JP🇯🇵|延迟74ms|带宽800.3Mbps|评分66
35.194.109.94:443#JP🇯🇵|延迟73ms|带宽524.5Mbps|评分70
13.159.223.80:443#JP🇯🇵|延迟73ms|带宽497.9Mbps|评分71
54.248.55.203:443#JP🇯🇵|延迟77ms|带宽684.6Mbps|评分71
54.199.39.232:443#JP🇯🇵|延迟81ms|带宽776.1Mbps|评分74
18.178.41.33:443#JP🇯🇵|延迟70ms|带宽279.5Mbps|评分74
13.193.114.134:443#JP🇯🇵|延迟76ms|带宽475.4Mbps|评分74
18.181.221.23:443#JP🇯🇵|延迟78ms|带宽374.4Mbps|评分78
13.113.194.44:443#JP🇯🇵|延迟70ms|带宽187.7Mbps|评分79
13.193.115.77:443#JP🇯🇵|延迟84ms|带宽521.0Mbps|评分81
54.64.107.127:443#JP🇯🇵|延迟74ms|带宽185.5Mbps|评分83
13.250.31.132:443#SG🇸🇬|延迟57ms|带宽40.6Mbps|评分84
18.181.108.44:443#JP🇯🇵|延迟79ms|带宽251.8Mbps|评分84
3.115.100.16:443#JP🇯🇵|延迟76ms|带宽176.0Mbps|评分85
43.160.246.223:8443#SG🇸🇬|延迟73ms|带宽131.9Mbps|评分86
54.150.241.35:443#JP🇯🇵|延迟85ms|带宽358.2Mbps|评分86
54.150.9.209:443#JP🇯🇵|延迟77ms|带宽188.6Mbps|评分86
