node,ip,port,country,colo,latency_ms,speed_mbps,score,stability
23.133.52.10:2053,23.133.52.10,2053,HK,HKG,18.67,653.27,13.11,500
34.92.79.184:8443,34.92.79.184,8443,HK,HKG,22.3,505.0,19.71,500
123.202.201.128:8443,123.202.201.128,8443,HK,HKG,30.72,92.12,47.77,500
45.135.119.123:443,45.135.119.123,443,HK,HKG,49.79,413.47,49.51,500
47.76.218.163:443,47.76.218.163,443,HK,HKG,22.61,29.48,52.87,500
43.250.175.174:8443,43.250.175.174,8443,HK,HKG,21.71,26.82,53.3,500
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,41.05,133.81,53.79,500
103.74.192.178:443,103.74.192.178,443,HK,,42.54,51.52,66.3,500
35.194.109.94:443,35.194.109.94,443,JP,,66.32,351.67,67.91,500
124.244.50.35:443,124.244.50.35,443,HK,,49.42,77.01,68.54,500
154.19.186.85:443,154.19.186.85,443,JP,NRT,70.56,476.39,68.65,500
154.83.91.206:443,154.83.91.206,443,JP,,74.86,608.26,70.12,500
34.104.208.126:443,34.104.208.126,443,JP,NRT,67.71,274.68,72.15,500
18.178.41.33:443,18.178.41.33,443,JP,NRT,74.76,498.08,72.33,500
31.57.172.172:443,31.57.172.172,443,JP,NRT,78.1,626.96,73.02,500
54.250.124.53:443,54.250.124.53,443,JP,NRT,76.13,417.93,75.73,500
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,78.11,419.35,77.67,500
35.75.183.41:443,35.75.183.41,443,JP,NRT,68.49,173.84,78.21,500
3.112.34.29:443,3.112.34.29,443,JP,,69.7,180.43,79.0,500
54.238.236.208:443,54.238.236.208,443,JP,NRT,72.58,210.44,80.1,500
54.248.55.203:443,54.248.55.203,443,JP,NRT,78.99,289.62,82.82,500
18.136.144.105:443,18.136.144.105,443,SG,SIN,62.74,63.06,84.17,500
47.83.14.42:8443,47.83.14.42,8443,HK,TPE,47.18,12.41,84.95,500
13.250.31.132:443,13.250.31.132,443,SG,SIN,61.7,47.89,86.3,500
45.76.176.213:8443,45.76.176.213,8443,SG,SIN,78.29,194.41,86.72,500
207.148.125.245:8443,207.148.125.245,8443,SG,SIN,80.68,237.3,86.81,500
122.10.119.252:443,122.10.119.252,443,HK,HKG,51.85,19.42,87.14,500
23.249.17.25:443,23.249.17.25,443,JP,,75.79,141.76,87.86,500
149.28.159.222:443,149.28.159.222,443,SG,SIN,80.51,193.28,89.01,500
45.77.254.160:8443,45.77.254.160,8443,SG,SIN,91.33,373.25,92.23,500
5.226.49.101:443,5.226.49.101,443,JP,,78.21,101.22,94.18,500
43.160.246.223:8443,43.160.246.223,8443,SG,SIN,82.05,135.98,94.61,500
43.153.155.143:2053,43.153.155.143,2053,JP,NRT,71.75,33.73,100.4,500
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,102.0,459.55,100.5,500
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,72.97,34.55,101.34,500
43.133.182.111:443,43.133.182.111,443,JP,NRT,76.71,31.27,106.23,500
43.153.166.110:8443,43.153.166.110,8443,JP,NRT,76.92,20.35,111.75,500
43.163.238.201:8443,43.163.238.201,8443,JP,NRT,77.13,19.59,112.33,500
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,86.95,43.85,112.57,500
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,84.57,29.76,114.69,500
52.141.39.15:443,52.141.39.15,443,KR,,102.84,132.81,115.67,500
119.28.162.39:8443,119.28.162.39,8443,KR,ICN,91.72,35.91,119.64,500
54.180.151.15:443,54.180.151.15,443,KR,ICN,107.65,141.37,119.76,500
66.42.51.60:8443,66.42.51.60,8443,SG,SIN,79.87,11.64,119.95,500
138.2.122.191:443,138.2.122.191,443,KR,ICN,110.17,53.47,133.5,500
43.133.232.228:8443,43.133.232.228,8443,KR,ICN,116.71,41.15,143.06,500
49.238.237.57:2053,49.238.237.57,2053,KR,LAX,162.9,106.73,178.25,500
49.238.238.162:2087,49.238.238.162,2087,KR,LAX,163.21,105.94,178.65,500
49.238.238.161:443,49.238.238.161,443,KR,LAX,163.95,107.89,179.18,500
49.238.238.149:443,49.238.238.149,443,KR,LAX,164.26,105.36,179.76,500
49.238.238.161:2096,49.238.238.161,2096,KR,LAX,168.42,107.01,183.74,500
49.238.237.31:443,49.238.237.31,443,KR,LAX,169.86,107.32,185.15,500
49.238.236.37:2096,49.238.236.37,2096,KR,LAX,172.76,107.21,188.06,500
49.238.237.131:2053,49.238.237.131,2053,KR,LAX,173.62,107.38,188.9,500
49.238.236.31:2087,49.238.236.31,2087,KR,LAX,174.07,107.62,189.33,500
49.238.239.41:2087,49.238.239.41,2087,KR,LAX,174.33,104.26,189.95,500
49.238.237.132:2083,49.238.237.132,2083,KR,LAX,174.71,107.62,189.97,500
49.238.239.25:2096,49.238.239.25,2096,KR,LAX,174.48,99.86,190.6,500
49.238.236.30:8443,49.238.236.30,8443,KR,LAX,176.06,105.88,191.5,500
49.238.239.41:2053,49.238.239.41,2053,KR,LAX,177.77,110.04,192.77,500
