23.133.52.10:2053#HK🇭🇰|延迟23ms|带宽593.8Mbps|评分19
34.92.79.184:8443#HK🇭🇰|延迟22ms|带宽488.7Mbps|评分20
45.135.119.123:443#HK🇭🇰|延迟54ms|带宽298.8Mbps|评分58
103.30.77.144:8443#HK🇭🇰|延迟52ms|带宽184.6Mbps|评分61
154.12.188.210:2096#HK🇭🇰|延迟574ms|带宽126.9Mbps|评分587
35.194.109.94:443#JP🇯🇵|延迟68ms|带宽222.6Mbps|评分75
34.104.208.126:443#JP🇯🇵|延迟74ms|带宽222.0Mbps|评分80
118.156.166.251:443#JP🇯🇵|延迟90ms|带宽205.0Mbps|评分98
18.178.41.33:443#JP🇯🇵|延迟83ms|带宽201.4Mbps|评分91
43.165.178.147:8443#JP🇯🇵|延迟87ms|带宽198.1Mbps|评分95
54.180.151.15:443#KR🇰🇷|延迟121ms|带宽152.9Mbps|评分132
168.107.0.116:8443#KR🇰🇷|延迟113ms|带宽149.0Mbps|评分124
52.141.39.15:443#KR🇰🇷|延迟111ms|带宽125.1Mbps|评分124
211.49.57.179:443#KR🇰🇷|延迟70ms|带宽104.7Mbps|评分85
138.2.122.191:443#KR🇰🇷|延迟115ms|带宽89.4Mbps|评分132
43.160.246.223:8443#SG🇸🇬|延迟189ms|带宽198.2Mbps|评分197
45.76.158.201:8443#SG🇸🇬|延迟86ms|带宽186.2Mbps|评分94
139.180.145.233:443#SG🇸🇬|延迟73ms|带宽185.0Mbps|评分82
45.77.36.196:443#SG🇸🇬|延迟100ms|带宽184.4Mbps|评分109
45.76.176.213:8443#SG🇸🇬|延迟82ms|带宽180.9Mbps|评分91
220.135.92.105:2087#TW🇹🇼|延迟37ms|带宽110.4Mbps|评分52
175.99.220.91:443#TW🇹🇼|延迟413ms|带宽40.5Mbps|评分440
103.137.22.71:8443#TW🇹🇼|延迟233ms|带宽32.4Mbps|评分262
188.253.6.173:443#TW🇹🇼|延迟313ms|带宽17.2Mbps|评分350
82.152.91.210:443#TW🇹🇼|延迟319ms|带宽16.7Mbps|评分355
