node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
23.133.52.10:2053,23.133.52.10,2053,HK,HKG,23.3,593.76,18.85,500,23.3,-34.45,above_30mbps_reward,30.0
34.92.79.184:8443,34.92.79.184,8443,HK,HKG,22.08,488.68,19.87,500,22.08,-32.21,above_30mbps_reward,30.0
123.202.201.128:8443,123.202.201.128,8443,HK,,17.87,57.77,40.3,500,17.87,-7.56,above_30mbps_reward,30.0
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,37.08,110.4,52.04,500,37.08,-15.04,above_30mbps_reward,30.0
45.135.119.123:443,45.135.119.123,443,HK,HKG,54.06,298.75,57.53,500,54.06,-26.53,above_30mbps_reward,30.0
103.30.77.144:8443,103.30.77.144,8443,HK,HKG,51.84,184.64,60.87,500,51.84,-20.97,above_30mbps_reward,30.0
38.147.190.31:8443,38.147.190.31,8443,HK,HKG,55.78,83.43,73.98,500,55.78,-11.8,above_30mbps_reward,30.0
35.194.109.94:443,35.194.109.94,443,JP,,67.79,222.63,74.66,500,67.79,-23.13,above_30mbps_reward,30.0
34.104.208.126:443,34.104.208.126,443,JP,NRT,73.6,221.97,80.5,500,73.6,-23.1,above_30mbps_reward,30.0
139.180.145.233:443,139.180.145.233,443,SG,,73.06,184.96,82.07,500,73.06,-20.99,above_30mbps_reward,30.0
54.150.241.35:443,54.150.241.35,443,JP,NRT,70.08,129.43,83.21,500,70.08,-16.87,above_30mbps_reward,30.0
122.10.119.252:443,122.10.119.252,443,HK,HKG,51.89,24.46,84.66,500,51.89,2.77,below_30mbps,30.0
211.49.57.179:443,211.49.57.179,443,KR,ICN,69.51,104.69,85.09,500,69.51,-14.42,above_30mbps_reward,30.0
54.150.9.209:443,54.150.9.209,443,JP,NRT,76.6,191.3,85.22,500,76.6,-21.38,above_30mbps_reward,30.0
54.238.236.208:443,54.238.236.208,443,JP,NRT,77.13,191.31,85.75,500,77.13,-21.38,above_30mbps_reward,30.0
54.250.124.53:443,54.250.124.53,443,JP,NRT,71.87,99.93,87.98,500,71.87,-13.89,above_30mbps_reward,30.0
13.250.31.132:443,13.250.31.132,443,SG,SIN,62.69,40.85,89.13,500,62.69,-3.56,above_30mbps_reward,30.0
18.178.41.33:443,18.178.41.33,443,JP,NRT,82.79,201.43,90.81,500,82.79,-21.98,above_30mbps_reward,30.0
45.76.176.213:8443,45.76.176.213,8443,SG,SIN,81.71,180.88,90.97,500,81.71,-20.74,above_30mbps_reward,30.0
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,85.5,186.15,94.43,500,85.5,-21.07,above_30mbps_reward,30.0
