54.248.55.203:443#JP🇯🇵|延迟87ms|带宽805.3Mbps|评分79
118.156.166.251:443#JP🇯🇵|延迟82ms|带宽668.2Mbps|评分76
18.178.41.33:443#JP🇯🇵|延迟72ms|带宽553.4Mbps|评分69
168.107.0.116:8443#KR🇰🇷|延迟102ms|带宽529.5Mbps|评分99
54.250.124.53:443#JP🇯🇵|延迟79ms|带宽509.0Mbps|评分76
45.76.158.201:8443#SG🇸🇬|延迟90ms|带宽442.8Mbps|评分89
13.193.152.12:443#JP🇯🇵|延迟79ms|带宽353.6Mbps|评分80
35.194.109.94:443#JP🇯🇵|延迟73ms|带宽323.4Mbps|评分76
8.222.185.236:443#JP🇯🇵|延迟153ms|带宽314.5Mbps|评分156
52.141.39.15:443#KR🇰🇷|延迟109ms|带宽280.3Mbps|评分95
139.180.145.233:443#SG🇸🇬|延迟109ms|带宽222.3Mbps|评分115
34.104.208.126:443#JP🇯🇵|延迟71ms|带宽209.9Mbps|评分78
43.160.246.223:8443#SG🇸🇬|延迟208ms|带宽191.8Mbps|评分197
45.77.254.160:8443#SG🇸🇬|延迟118ms|带宽187.7Mbps|评分127
35.75.55.100:443#JP🇯🇵|延迟79ms|带宽184.8Mbps|评分88
43.165.178.147:8443#JP🇯🇵|延迟88ms|带宽184.5Mbps|评分97
45.76.176.213:8443#SG🇸🇬|延迟108ms|带宽178.7Mbps|评分117
43.164.191.65:8443#KR🇰🇷|延迟84ms|带宽126.5Mbps|评分83
211.49.57.179:443#KR🇰🇷|延迟72ms|带宽119.8Mbps|评分86
54.238.236.208:443#JP🇯🇵|延迟76ms|带宽112.6Mbps|评分90
