node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
34.92.79.184:8443,34.92.79.184,8443,HK,HKG,18.48,659.01,12.82,500,18.48,-35.66,above_30mbps_reward,30.0
159.138.138.87:443,159.138.138.87,443,HK,HKG,23.94,616.92,19.04,500,23.94,-34.9,above_30mbps_reward,30.0
23.133.52.10:2053,23.133.52.10,2053,HK,HKG,29.83,829.88,21.51,500,29.83,-38.32,above_30mbps_reward,30.0
8.218.22.14:443,8.218.22.14,443,HK,HKG,20.63,61.08,42.42,500,20.63,-8.21,above_30mbps_reward,30.0
123.202.201.128:8443,123.202.201.128,8443,HK,,30.9,71.6,50.86,500,30.9,-10.04,above_30mbps_reward,30.0
43.250.175.174:8443,43.250.175.174,8443,HK,HKG,21.54,18.65,57.22,500,21.54,5.68,below_30mbps,30.0
54.150.9.209:443,54.150.9.209,443,JP,NRT,61.96,589.86,57.58,500,61.96,-34.38,above_30mbps_reward,30.0
47.76.218.163:443,47.76.218.163,443,HK,HKG,22.98,16.46,59.75,500,22.98,6.77,below_30mbps,30.0
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,42.08,65.66,63.04,500,42.08,-9.04,above_30mbps_reward,30.0
13.193.152.12:443,13.193.152.12,443,JP,NRT,72.5,551.38,68.9,500,72.5,-33.6,above_30mbps_reward,30.0
54.238.236.208:443,54.238.236.208,443,JP,NRT,73.38,565.88,69.48,500,73.38,-33.9,above_30mbps_reward,30.0
35.194.109.94:443,35.194.109.94,443,JP,,69.7,406.32,69.62,500,69.7,-30.08,above_30mbps_reward,30.0
131.143.215.142:443,131.143.215.142,443,JP,NRT,70.7,385.8,71.22,500,70.7,-29.48,above_30mbps_reward,30.0
114.32.9.249:443,114.32.9.249,443,TW,TPE,46.88,40.81,73.33,500,46.88,-3.55,above_30mbps_reward,30.0
103.51.145.18:8443,103.51.145.18,8443,HK,,48.71,45.13,74.0,500,48.71,-4.71,above_30mbps_reward,30.0
47.83.14.42:8443,47.83.14.42,8443,HK,TPE,37.74,12.71,74.61,500,37.74,6.87,below_15mbps,30.0
34.104.208.126:443,34.104.208.126,443,JP,NRT,67.85,220.05,74.85,500,67.85,-23.0,above_30mbps_reward,30.0
140.235.37.85:443,140.235.37.85,443,JP,NRT,74.99,390.63,75.37,500,74.99,-29.62,above_30mbps_reward,30.0
147.79.20.197:443,147.79.20.197,443,JP,,75.28,329.15,77.64,500,75.28,-27.65,above_30mbps_reward,30.0
35.75.183.41:443,35.75.183.41,443,JP,NRT,69.84,178.79,79.24,500,69.84,-20.6,above_30mbps_reward,30.0
147.79.20.239:443,147.79.20.239,443,JP,NRT,76.83,315.5,79.67,500,76.83,-27.16,above_30mbps_reward,30.0
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,73.92,225.4,80.64,500,73.92,-23.28,above_30mbps_reward,30.0
13.250.31.132:443,13.250.31.132,443,SG,SIN,56.79,48.86,81.16,500,56.79,-5.63,above_30mbps_reward,30.0
14.137.235.132:443,14.137.235.132,443,JP,NRT,70.07,154.16,81.18,500,70.07,-18.89,above_30mbps_reward,30.0
149.28.159.222:443,149.28.159.222,443,SG,SIN,78.15,261.51,83.16,500,78.15,-24.99,above_30mbps_reward,30.0
23.249.17.25:443,23.249.17.25,443,JP,,72.9,157.03,83.79,500,72.9,-19.1,above_30mbps_reward,30.0
54.250.124.53:443,54.250.124.53,443,JP,NRT,68.07,98.27,84.38,500,68.07,-13.69,above_30mbps_reward,30.0
54.248.55.203:443,54.248.55.203,443,JP,NRT,76.31,182.07,85.5,500,76.31,-20.81,above_30mbps_reward,30.0
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,84.66,360.57,85.96,500,84.66,-28.7,above_30mbps_reward,30.0
45.76.176.213:8443,45.76.176.213,8443,SG,SIN,78.4,188.74,87.17,500,78.4,-21.23,above_30mbps_reward,30.0
45.77.254.160:8443,45.77.254.160,8443,SG,SIN,79.41,203.91,87.29,500,79.41,-22.12,above_30mbps_reward,30.0
150.109.11.223:443,150.109.11.223,443,SG,,73.79,121.61,87.63,500,73.79,-16.15,above_30mbps_reward,30.0
5.226.49.101:443,5.226.49.101,443,JP,NRT,75.39,67.96,95.95,500,75.39,-9.44,above_30mbps_reward,30.0
43.133.182.111:443,43.133.182.111,443,JP,NRT,69.88,31.13,99.45,500,69.88,-0.43,above_30mbps_reward,30.0
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,71.84,32.43,100.94,500,71.84,-0.9,above_30mbps_reward,30.0
43.163.238.201:8443,43.163.238.201,8443,JP,NRT,73.84,17.34,110.17,500,73.84,6.33,below_30mbps,30.0
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,83.35,37.37,110.81,500,83.35,-2.54,above_30mbps_reward,30.0
52.141.39.15:443,52.141.39.15,443,KR,,99.8,144.83,111.63,500,99.8,-18.17,above_30mbps_reward,30.0
54.180.151.15:443,54.180.151.15,443,KR,ICN,101.84,141.18,113.96,500,101.84,-17.88,above_30mbps_reward,30.0
66.42.51.60:8443,66.42.51.60,8443,SG,SIN,78.15,11.59,118.38,500,78.15,10.23,below_15mbps,30.0
138.2.122.191:443,138.2.122.191,443,KR,,94.89,49.48,119.12,500,94.89,-5.78,above_30mbps_reward,30.0
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,88.5,28.34,119.33,500,88.5,0.83,below_30mbps,30.0
144.24.94.127:443,144.24.94.127,443,KR,ICN,105.64,94.22,122.43,500,105.64,-13.21,above_30mbps_reward,30.0
8.222.185.236:443,8.222.185.236,443,SG,NRT,133.67,434.02,132.83,500,133.67,-30.84,above_30mbps_reward,30.0
43.133.232.228:8443,43.133.232.228,8443,KR,ICN,115.03,41.53,141.28,500,115.03,-3.75,above_30mbps_reward,30.0
144.24.68.111:443,144.24.68.111,443,KR,,119.26,53.98,142.48,500,119.26,-6.78,above_30mbps_reward,30.0
134.185.88.235:8443,134.185.88.235,8443,SG,SIN,134.73,102.73,150.52,500,134.73,-14.21,above_30mbps_reward,30.0
158.178.229.178:443,158.178.229.178,443,SG,,130.38,32.71,159.38,500,130.38,-1.0,above_30mbps_reward,30.0
49.238.239.25:443,49.238.239.25,443,KR,,152.88,109.89,167.89,500,152.88,-14.98,above_30mbps_reward,30.0
49.238.239.41:443,49.238.239.41,443,KR,,153.56,104.98,169.1,500,153.56,-14.46,above_30mbps_reward,30.0
49.238.238.131:443,49.238.238.131,443,KR,,154.95,103.69,170.64,500,154.95,-14.31,above_30mbps_reward,30.0
49.238.238.163:443,49.238.238.163,443,KR,,155.83,100.74,171.85,500,155.83,-13.98,above_30mbps_reward,30.0
49.238.237.57:2053,49.238.237.57,2053,KR,LAX,159.96,105.07,175.49,500,159.96,-14.47,above_30mbps_reward,30.0
49.238.238.31:2096,49.238.238.31,2096,KR,LAX,163.21,104.05,178.86,500,163.21,-14.35,above_30mbps_reward,30.0
49.238.238.161:8443,49.238.238.161,8443,KR,LAX,163.18,101.67,179.09,500,163.18,-14.09,above_30mbps_reward,30.0
49.238.237.232:2087,49.238.237.232,2087,KR,LAX,164.64,106.65,180.0,500,164.64,-14.64,above_30mbps_reward,30.0
49.238.237.131:8443,49.238.237.131,8443,KR,LAX,165.48,102.8,181.27,500,165.48,-14.21,above_30mbps_reward,30.0
49.238.239.41:2083,49.238.239.41,2083,KR,LAX,166.29,106.38,181.68,500,166.29,-14.61,above_30mbps_reward,30.0
49.238.236.30:2096,49.238.236.30,2096,KR,LAX,169.28,106.99,184.6,500,169.28,-14.68,above_30mbps_reward,30.0
49.238.236.33:2087,49.238.236.33,2087,KR,LAX,170.14,105.68,185.61,500,170.14,-14.53,above_30mbps_reward,30.0
49.238.237.33:443,49.238.237.33,443,KR,LAX,170.91,106.24,186.32,500,170.91,-14.59,above_30mbps_reward,30.0
49.238.236.39:2087,49.238.236.39,2087,KR,LAX,172.24,108.76,187.38,500,172.24,-14.86,above_30mbps_reward,30.0
49.238.236.12:2096,49.238.236.12,2096,KR,LAX,176.03,106.74,191.38,500,176.03,-14.65,above_30mbps_reward,30.0
49.238.239.25:2087,49.238.239.25,2087,KR,LAX,177.79,108.46,192.96,500,177.79,-14.83,above_30mbps_reward,30.0
31.77.228.53:443,31.77.228.53,443,KR,,227.44,27.59,258.65,500,227.44,1.21,below_30mbps,30.0
158.247.253.111:8443,158.247.253.111,8443,KR,ICN,239.04,55.72,261.89,500,239.04,-7.15,above_30mbps_reward,30.0
85.155.176.13:8443,85.155.176.13,8443,KR,NRT,275.08,49.71,299.25,500,275.08,-5.83,above_30mbps_reward,30.0
188.253.6.209:443,188.253.6.209,443,TW,TPE,300.4,40.88,326.83,500,300.4,-3.57,above_30mbps_reward,30.0
82.152.91.210:443,82.152.91.210,443,TW,,299.1,25.49,331.35,500,299.1,2.26,below_30mbps,30.0
